	Root.full_L1	Shoot.full_L1	Flower.pre_L1	Flower.early_L1	Flower.mid_L1
gi|351600368|gb|JP454837.1|	49.7030963095968	74.5438554309936	66.7474985666082	28.5264624058705	38.5906993365423
gi|351615570|gb|JP469871.1|	848.42029514521	3728.04959747418	2940.86300232163	3255.30822916222	2009.93225711158
gi|351622160|gb|JP476461.1|	3500.02268896416	2543.91616982322	1131.52902331964	1184.94536147462	2642.39094068269
gi|351621331|gb|JP475632.1|	164.135806417738	338.446240175201	288.444547377128	179.936147483183	48.2383741706779
gi|351601819|gb|JP456257.1|	16.1824034496362	100.248633165819	208.983239559738	88.8709021105966	56.814085134354
gi|351595927|gb|JP450487.1|	35.8324647813372	0	0	0	15.0074941864331
gi|351615915|gb|JP470216.1|	151.421060850167	58.2641628656042	43.7037192995649	63.6359545977111	98.6206760822748
gi|351615183|gb|JP469484.1|	1652.91692378427	2297.1503035689	1501.81871774868	1634.78573018258	1272.42111423544
gi|351624837|gb|JP479138.1|	3487.30794339659	179.076618219284	157.333389478434	71.3161560146763	95.4047844708963
gi|351611716|gb|JP466017.1|	631.11373453581	11787.3542432664	11854.0379001983	12992.706454243	3223.39535847174
gi|351615133|gb|JP469434.1|	151.421060850167	169.651533049848	81.0505339737385	80.0935290626364	93.2608567299773
gi|351605772|gb|JP460114.1|	1369.72486341563	1145.57626104872	1138.68054102321	1012.6894154084	868.290735072202
gi|351617895|gb|JP472196.1|	86.6914470516223	41.9844703002148	69.1313378011299	44.9840368707958	68.6056877094086
gi|351627600|gb|JP480483.1|	30.0530349778957	67.6892480350402	75.4882424265212	94.3567602655717	43.9505186888399
gi|351613324|gb|JP467625.1|	5714.70018964294	929.656128076185	1152.18896335217	956.733662227657	1485.74192445688
gi|351622647|gb|JP476948.1|	25.4294911351425	59.1209887900984	41.3198800650432	36.2066638228356	56.814085134354
gi|351615085|gb|JP469386.1|	110.965052226077	739.440772838477	250.303119624781	89.9680737415916	78.2533625435441
gi|351596345|gb|JP450902.1|	8229.90804010068	2626.17145857466	3624.23024955119	4133.04553395824	3809.75959561309
gi|351611333|gb|JP465634.1|	458.886726393254	1246.68172013903	1114.84214867799	964.413863644622	730.007395782925
gi|351628705|gb|JP481588.1|	2255.13350930287	2249.16805179722	2491.1120000752	2999.66723914038	1501.82138251377
gi|351606007|gb|JP460344.1|	1053.01211018704	134.521670145586	268.579220422781	132.757767350397	239.04794311247
gi|351624697|gb|JP478998.1|	701.622778137797	2271.44552583407	2705.65753118215	2571.77030305233	1235.97434263981
gi|351617082|gb|JP471383.1|	0	118.241977580197	140.646514836782	398.273302051192	555.277284898026
gi|351604389|gb|JP458741.1|	20.8059472923894	603.205450843903	1207.01726574616	994.037497681488	337.668619194745
gi|351615810|gb|JP470111.1|	105.185622422635	166.224229351871	123.165027116956	129.466252457412	50.3823019115969
gi|351614803|gb|JP469104.1|	270.477314801062	586.068932354019	433.064127604779	391.690272265222	652.825997109841
gi|351617686|gb|JP471987.1|	267.009656918997	234.770303311405	222.491661888694	185.422005638158	185.449749589495
gi|351606384|gb|JP460712.1|	24.2736051744542	1.71365184898836	0	0	0
gi|351596991|gb|JP451544.1|	270.477314801062	270.756992140161	272.55228581365	295.13916873766	250.839545687525
gi|351605834|gb|JP460175.1|	907.370479140313	335.018936477224	479.151686138866	489.338547423779	621.739044866515
gi|351611257|gb|JP465558.1|	1155.8859606883	1296.37762375969	1267.40785968738	1124.60092176989	1790.17966366738
gi|351599888|gb|JP454369.1|	11.558859606883	3.42730369797672	0	0	0
gi|351627284|gb|JP480167.1|	9244.775913585	18.850170338872	8.74074385991298	7.68020141696514	28.9430245024067
gi|351613574|gb|JP467875.1|	82.0679032088691	183.360747841754	215.340144185129	140.437968767362	129.707628325601
gi|351598956|gb|JP453461.1|	21.9618332530776	23.1342999613429	32.5791362051302	34.0123205608456	20.3673135387307
gi|351600870|gb|JP455328.1|	12.7147455675713	13.7092147919069	7.94613078173907	3.29151489298506	17.1514219273521
gi|351612483|gb|JP466784.1|	515.525138466981	262.188732895219	301.158356627911	426.799764457063	555.277284898026
gi|351601792|gb|JP456231.1|	0	0	19.0707138761738	0	16.0794580568926
gi|351612103|gb|JP466404.1|	113.276824147453	189.358529313214	229.643179592259	110.814334730497	351.604149510719
gi|351617753|gb|JP472054.1|	122.52391183296	153.371840484458	145.414193305825	108.619991468507	248.695617946606
gi|351627433|gb|JP480316.1|	0	9.42508516943598	19.0707138761738	50.4698950257709	485.599633318157
gi|351617792|gb|JP472093.1|	1.1558859606883	51.4095554696508	51.649850081304	73.5104992766663	9.64767483413558
gi|351625351|gb|JP479652.1|	41.6118945847787	0	2.38383923452172	12.0688879409452	6.43178322275705
gi|351596306|gb|JP450863.1|	1106.1828643787	713.735995103652	810.505339737385	900.777909046911	828.6280718652
gi|351591108|gb|JP449564.1|	25.4294911351425	29401.9815990178	21649.2333148481	17220.1087484668	8806.18319582486
gi|351627716|gb|JP480599.1|	219.618332530777	226.202044066463	315.461392035041	186.519177269153	214.392774091902
gi|351605647|gb|JP459990.1|	1102.71520649664	440.408525190008	431.474901448432	400.467645313182	701.064371280519
